Betreuungsbezirk Nr,Betreuungsbezirk,Einrichtungsnummer,Einrichtungsname,Einrichtungsadresse,PLZ,Telefon,Anzahl Plätze,Einrichtungsart,Trägernummer,Trägername,Trägerart,Anschrift,Latitude,Longitude
7,Tempelhof-Schöneberg,7112300,Kita Alboingärten,In den Alboingärten 039,12103,04207112,60.0,Kindertagesstätte,155,AWO pro:mensch gGmbH,Arbeiterwohlfahrt,"In den Alboingärten 039, 12103, Berlin",52.4604974,13.3618771
7,Tempelhof-Schöneberg,7112310,Kinderladen Zauberhaus,Innsbrucker Str. 042,10825,50950401,25.0,Kindertagesstätte,8313,Kinderladen Zauberhaus UG (haftungsbeschränkt),Sonstiger freier Träger,"Innsbrucker Str. 042, 10825, Berlin",52.4857395,13.3409156
7,Tempelhof-Schöneberg,7112320,Kita Ella-Barowsky-Str.,Ella-Barowsky-Str. 015,10829,58712728100,50.0,Kindertagesstätte,1312,INA.KINDER.GARTEN gGmbH,Sonstiger freier Träger,"Ella-Barowsky-Str. 015, 10829, Berlin",52.4789078,13.3552941
7,Tempelhof-Schöneberg,7130020,Kita Bosestr. 12/Kitas Süd-West,Bosestr. 012,12103,290276010,114.0,Kindertagesstätte,123,Kindertagesstätten Berlin Süd-West,Eigenbetrieb,"Bosestr. 012, 12103, Berlin",52.4629244,13.3774574
7,Tempelhof-Schöneberg,7130030,Kita Marienhöher Weg 10/Kitas Süd-West,Marienhöher Weg 010,12105,290276110,61.0,Kindertagesstätte,123,Kindertagesstätten Berlin Süd-West,Eigenbetrieb,"Marienhöher Weg 010, 12105, Berlin",52.4509675,13.3661099
7,Tempelhof-Schöneberg,7130060,Kita Mariendorfer Damm 123/Kitas Süd-West,Mariendorfer Damm 123,12109,290276100,192.0,Kindertagesstätte,123,Kindertagesstätten Berlin Süd-West,Eigenbetrieb,"Mariendorfer Damm 123, 12109, Berlin",52.441224500000004,13.387767334035878
7,Tempelhof-Schöneberg,7130070,Kita Rathausstr. 84/Kitas Süd-West,Rathausstr. 084,12105,290276130,65.0,Kindertagesstätte,123,Kindertagesstätten Berlin Süd-West,Eigenbetrieb,"Rathausstr. 084, 12105, Berlin",52.4410111,13.3812649
7,Tempelhof-Schöneberg,7130080,Kita Stegerwald,Stegerwaldstr. 050,12277,75 77 78 70,95.0,Kindertagesstätte,1249,Nachbarschaftsheim Schöneberg e.V.,Sonstiger freier Träger,"Stegerwaldstr. 050, 12277, Berlin",52.4205599,13.3697256
7,Tempelhof-Schöneberg,7130090,Kita Domagkstr. 4/Kitas Süd-West,Domagkstr. 004,12277,290276030,120.0,Kindertagesstätte,123,Kindertagesstätten Berlin Süd-West,Eigenbetrieb,"Domagkstr. 004, 12277, Berlin",52.4161874,13.3678298
7,Tempelhof-Schöneberg,7130130,Kita Seelbuschring 19/Kitas Süd-West,Seelbuschring 019,12105,290276160,103.0,Kindertagesstätte,123,Kindertagesstätten Berlin Süd-West,Eigenbetrieb,"Seelbuschring 019, 12105, Berlin",52.4486017,13.3726333
7,Tempelhof-Schöneberg,7130140,Kita Finchleystraße,Finchleystr. 006,12305,767 66 096,140.0,Kindertagesstätte,1312,INA.KINDER.GARTEN gGmbH,Sonstiger freier Träger,"Finchleystr. 006, 12305, Berlin",52.3929217,13.4046997
7,Tempelhof-Schöneberg,7130150,Kita Albulaweg 15/19/Kitas Süd-West,Albulaweg 015,12107,290276000,216.0,Kindertagesstätte,123,Kindertagesstätten Berlin Süd-West,Eigenbetrieb,"Albulaweg 015, 12107, Berlin",52.4233214,13.4002194
7,Tempelhof-Schöneberg,7130170,BOOT-Kita Traumburg,Weilburgstr. 011,12309,84850460,180.0,Kindertagesstätte,1277,Gemeinnützige BOOT GmbH,Sonstiger freier Träger,"Weilburgstr. 011, 12309, Berlin",52.3973412,13.4163795
7,Tempelhof-Schöneberg,7130180,Kita Vier Jahreszeiten des NUSZ,Luckeweg 015,12279,72019285,206.0,Kindertagesstätte,1112,Nachbarschafts- u. Selbsthilfezentrum in der UFA-Fabrik e.V.,Sonstiger freier Träger,"Luckeweg 015, 12279, Berlin",52.4118717,13.3574776
7,Tempelhof-Schöneberg,7130190,Kita Nahariyastr. 21/Kitas Süd-West,Nahariyastr. 021,12309,290276120,190.0,Kindertagesstätte,123,Kindertagesstätten Berlin Süd-West,Eigenbetrieb,"Nahariyastr. 021, 12309, Berlin",52.3904008,13.4201686
7,Tempelhof-Schöneberg,7130200,Kita Am Volkspark/Kitas Süd-West,Mariendorfer Damm 115,12109,290276090,188.0,Kindertagesstätte,123,Kindertagesstätten Berlin Süd-West,Eigenbetrieb,"Mariendorfer Damm 115, 12109, Berlin",52.44188395,13.387714517974926
7,Tempelhof-Schöneberg,7130210,BOOT-Kita Fritz-Werner,Fritz-Werner-Str. 043,12107,93952557,190.0,Kindertagesstätte,1277,Gemeinnützige BOOT GmbH,Sonstiger freier Träger,"Fritz-Werner-Str. 043, 12107, Berlin",52.4325604,13.3826972
